Timestamp                       Thread     Type        Activity             PID    TTL  
2026-06-11 14:40:50.820121-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: Mode switch done — watching for input reports
2026-06-11 14:40:54.686570-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1008][0x10000247f] CompleteInReport:0xe00002ed
2026-06-11 14:40:54.686576-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:795][0x10000247f] Schedule retry reason:0xe00002ed count:9 deadline:50ms
2026-06-11 14:40:54.740849-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1041][0x10000247f] TimerOccurred retry:9
2026-06-11 14:40:54.759438-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:755][0x10000247f] initInputReport:0xe00002eb
2026-06-11 14:40:54.759442-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: initInputReport -> 0xE00002EB
2026-06-11 14:40:54.759446-0500 0x26f0a    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:795][0x10000247f] Schedule retry reason:0xe00002eb count:9 deadline:1ms
2026-06-11 14:40:54.760691-0500 0x26f09    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: Stop (saw 0 input reports this session)
2026-06-11 14:40:54.760705-0500 0x26f09    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:466][0x10000247f] Close interface: 0x10000247c 0x0
2026-06-11 14:40:54.765766-0500 0x26f09    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) <private>
2026-06-11 14:40:55.625750-0500 0x2703e    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) <private>
2026-06-11 14:40:55.626286-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) XeneonTouchDriver: >>> Start_Impl (v14)
2026-06-11 14:40:55.626833-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1156][0x1000024c9] bulk pipe support:0 (reason: vendorID (10176))
2026-06-11 14:40:55.626893-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:552][0x1000024c9] Open interface: 0x1000024c5
2026-06-11 14:40:55.628141-0500 0x27042    Default     0x0                  0      0    kernel: (com.jonathanmartin.XeneonTouchDriverApp.XeneonTouchDriver.dext) [IOUserUSBHostHIDDevice.cpp:1222][0x1000024c9] found in pipe (addr:129, type:3)
